Product ID	Product Name	Product Description	Product Page URL	Product Image URL	Product Brand	Product Category	UPC - Universal Product Code	Manufacturer Part Number	Original Price	Sale Price	Condition	Operating System	Processor Type	Processor Speed	Processor Number	Memory Size	Hard Drive Size	Warranty	Optical Drive	Graphics Memory	Graphics Chipset	adwords_queryparam	adwords_prefer_for_query	Shipping Cost	Product Type	Additional Images	c:druse:boolean	Screen Size
509270	Toshiba SDP95S Portable DVD Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=509270	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/sdp94s.gif	Toshiba	Electronics	022265004517	SDP95S	129.99	129.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/portable-dvd-player-sdp95s-600-01.jpg,/images/products/portable-dvd-player-sdp95s-600-02.jpg,/images/products/portable-dvd-player-sdp95s-600-03.jpg	false	
506603	Satellite Pro L630-EZ1312	Satellite Pro L630-EZ1312	http://www.toshibadirect.com/td/b2c/pdet.to?poid=506603	http://www.toshibadirect.com/images/products/100/satellite-pro-L630-EZ1312-laptop.gif	Toshiba	Notebook PCs	883974720439	PSK01U-01P024	799.0	799.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Professional (64-bit)	Intel&reg; Core&#153; i3	2.53GHz	i3-380M	4GB	320GB		DVD-SuperMulti drive (+/-R double layer)	64MB-1696MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/satellite-pro-L630-EZ1311-600-01.jpg,/images/products/satellite-pro-L630-EZ1311-600-02.jpg,/images/products/satellite-pro-L630-EZ1311-600-03.jpg,/images/products/satellite-pro-L630-EZ1311-600-04.jpg,/images/products/satellite-pro-L630-EZ1311-600-05.jpg	true	13.3
506593	Satellite Pro L640-EZ1412	Satellite Pro L640-EZ1412	http://www.toshibadirect.com/td/b2c/pdet.to?poid=506593	http://www.toshibadirect.com/images/products/100/satellite-pro-l640-ez1411-laptop.gif	Toshiba	Notebook PCs	883974720415	PSK0HU-00N00G	749.0	749.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Professional (64-bit)	Intel&reg; Core&#153; i3	2.53GHz	i3-380M	3GB	320GB		DVD-SuperMulti drive (+/-R double layer)	64MB-1274MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/satellite-pro-L640-EZ1411-600-01.jpg,/images/products/satellite-pro-L640-EZ1411-600-02.jpg,/images/products/satellite-pro-L640-EZ1411-600-03.jpg,/images/products/satellite-pro-L640-EZ1411-600-04.jpg,/images/products/satellite-pro-L640-EZ1411-600-05.jpg,/images/products/satellite-pro-L640-EZ1411-600-06.jpg,/images/products/satellite-pro-L640-EZ1411-600-07.jpg,/images/products/satellite-pro-L640-EZ1411-600-08.jpg,/images/products/satellite-pro-L640-EZ1411-600-09.jpg	true	14.0
509268	Toshiba SDP75S Portable DVD Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=509268	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/sdp74s.gif	Toshiba	Electronics	022265004524	SDP75S	79.99	79.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/portable-dvdplayer-sdp74s-600-01.jpg,/images/products/portable-dvdplayer-sdp74s-600-02.jpg,/images/products/portable-dvdplayer-sdp74s-600-03.jpg,/images/products/portable-dvdplayer-sdp74s-600-04.jpg	false	
512068	Toshiba Camileo P100 HD Camcorder	Visit Toshiba Direct for a Toshiba Camileo P100 HD Camcorder	http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=512068	http://www.toshibadirect.com/images/ui3/accessories/to_pa3943u_100.jpg	Toshiba	Electronics	883974731459	PA3943U-1CAM	179.99	159.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/Camileo_P100_1.jpg,/images/products/Camileo_P100_2.jpg,/images/products/Camileo_P100_3.jpg,/images/products/Camileo_P100_4.jpg,/images/products/Camileo_P100_5.jpg,/images/products/Camileo_P100_6.jpg	false	
515749	Toshiba BDX2150 Blu-ray Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=515749	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/bdx2150.gif	Toshiba	Electronics	022265052211	BDX2150	79.99	79.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/bluray-bdx2150-600-01.jpg,/images/products/bluray-bdx2150-600-02.jpg,/images/products/bluray-bdx2150-600-03.jpg,/images/products/bluray-bdx2150-600-04.jpg,/images/products/bluray-bdx2150-600-05.jpg	false	
514042	Tecra R850-S8540 Laptop	Tecra R850-S8540 Laptop	http://www.toshibadirect.com/td/b2c/pdet.to?poid=514042	http://www.toshibadirect.com/images/products/100/tecra_r850-s85xx-laptop-nw.gif	Toshiba	Notebook PCs	883974775156	PT520U-00U010	1349.0	1349.0	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Professional (64-bit)<br><a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Professional (32-bit)	Intel&reg; Core&#153; i7	2.70GHz (3.40GHz with Turbo Boost Technology)	i7-2620M	4GB	320GB		DVD-SuperMulti drive (+/-R double layer)	1GB GDDR3 discrete graphics memory		adId=GooglePlusBox	Laptops	0	RTS	/images/products/tecra_r850-s85xx-600-01.jpg,/images/products/tecra_r850-s85xx-600-02.jpg,/images/products/tecra_r850-s85xx-600-03.jpg,/images/products/tecra_r850-s85xx-600-04.jpg,/images/products/tecra_r850-s85xx-600-05.jpg,/images/products/tecra_r850-s85xx-600-06.jpg,/images/products/tecra_r850-s85xx-600-07.jpg,/images/products/tecra_r850-s85xx-600-08.jpg,/images/products/tecra_r850-s85xx-600-09.jpg,/images/products/tecra_r850-s85xx-600-10.jpg,/images/products/tecra_r850-s85xx-600-11.jpg,/images/products/tecra_r850-s85xx-600-12.jpg,/images/products/tecra_r850-s85xx-600-13.jpg	true	15.6
515791	Toshiba BDX4150 Blu-ray Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=515791	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/bdx4150.gif	Toshiba	Electronics	022265052235	BDX4150	99.99	99.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/bluray-bdx4150-600-01.jpg,/images/products/bluray-bdx4150-600-02.jpg,/images/products/bluray-bdx4150-600-03.jpg,/images/products/bluray-bdx4150-600-04.jpg,/images/products/bluray-bdx4150-600-05.jpg	false	
514249	Toshiba Camileo BW10 Waterproof Camcorder (Silver)	Visit Toshiba Direct for a Toshiba Camileo BW10 Waterproof Camcorder and see the entire collection of Video Cameras.	http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=514249	http://www.toshibadirect.com/images/ui3/accessories/to_pa3897su_100.jpg	Toshiba	Electronics	883974619580	PA3897U-1CAS	149.99	114.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/CAMILEO_BW10s_01.jpg,/images/products/CAMILEO_BW10s_02.jpg,/images/products/CAMILEO_BW10s_03.jpg,/images/products/CAMILEO_BW10_01.jpg,/images/products/CAMILEO_BW10_02.jpg	false	
514250	Toshiba Camileo BW10 Waterproof Camcorder (Yellow)	Visit Toshiba Direct for a Toshiba Camileo BW10 Waterproof Camcorder and see the entire collection of Video Cameras.	http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=514250	http://www.toshibadirect.com/images/ui3/accessories/to_pa3897yu_100.jpg	Toshiba	Electronics	883974619566	PA3897U-1CAY	149.99	114.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/CAMILEO_BW10y_01.jpg,/images/products/CAMILEO_BW10y_02.jpg,/images/products/CAMILEO_BW10y_03.jpg,/images/products/CAMILEO_BW10y_04.jpg,/images/products/CAMILEO_BW10y_05.jpg,/images/products/CAMILEO_BW10y_06.jpg,/images/products/CAMILEO_BW10_02.jpg	false	
